epoch, train_ts_loss, test_ts_loss, train_df_loss, test_df_loss, forward_time, backward_time
0,0.5175499904614228,0.4921470307386838,-0.07422739539581996,-0.06943942835697761,86.3839054107666,6.170137405395508
1,0.5061916846495408,0.4938881970368899,-0.07739697124522465,-0.08242141913909179,86.06624364852905,6.170183420181274
2,0.4829820297085322,0.46949010628920335,-0.08438688889145851,-0.08766695971672352,85.94610023498535,6.156311750411987
3,0.46007895584289843,0.44627086932842547,-0.09190964770431702,-0.09575937516414203,85.81371998786926,6.164581775665283
4,0.4373520366274394,0.4219197493333083,-0.09990623536018226,-0.10306419604099713,85.04235768318176,6.163688898086548
5,0.4158165535101524,0.40643325448036194,-0.10839469759510113,-0.11225929856300354,84.10908365249634,6.17027473449707
6,0.3946500070966207,0.3822273245224586,-0.117226617410779,-0.12024425256710786,83.5322494506836,6.171252489089966
7,0.3747469112277031,0.3655105737539438,-0.1268783429494271,-0.12988783017947123,81.77640795707703,6.167436122894287
8,0.3556462342922504,0.34574185655667233,-0.13696685748604628,-0.13895138525045836,81.56661295890808,6.172602891921997
9,0.3388411288078015,0.328173217865137,-0.147041733448322,-0.14981417472545916,80.50670170783997,6.177387237548828
10,0.32193460773963195,0.3137680979875418,-0.15815371590164992,-0.16140833955544692,79.82989168167114,6.115269660949707
11,0.3067174955056264,0.3017310156272008,-0.1693547282081384,-0.17329868559653944,78.7602128982544,6.0926477909088135
12,0.2932488127396657,0.28508355296575105,-0.18084328392377266,-0.18271588476804587,78.87991666793823,6.113738775253296
13,0.2816456848612198,0.2762695046571585,-0.19279993698000908,-0.1939036983710069,79.13098549842834,6.105185031890869
14,0.27159067157369393,0.2671556988587746,-0.20494911848352507,-0.20752610151584333,78.91976261138916,6.107309341430664
15,0.2631566467193457,0.2606829840403337,-0.21745547251059458,-0.21799269203956312,78.73497176170349,6.10807204246521
16,0.2568804988494286,0.25575608702806324,-0.229849549726798,-0.2310757854810128,78.7109637260437,6.102356910705566
17,0.25250586981956774,0.25047967296380264,-0.24260021860782915,-0.24161460078679597,78.91767525672913,6.113456726074219
18,0.24986442235799936,0.24711463313836318,-0.25524489008463347,-0.25346338290434617,78.94246172904968,6.105178117752075
19,0.24941839191776055,0.2507920815394475,-0.26781908308084196,-0.2679858116003183,79.18243408203125,6.102493524551392
