epoch, train_loss, test_loss, forward_time, backward_time, train_error, test_error
0,0.4793587148189545,0.12611512414046697,411.3353877067566,20.129295587539673,0.9977777777777778,0.984
1,0.09365373253822326,0.05642213619181088,325.3873224258423,20.031585693359375,0.8428888888888889,0.522
2,0.03519654016320904,0.05210109055042267,331.0059323310852,18.791661262512207,0.28655555555555556,0.419
3,0.044486390240490434,0.04061467147299221,337.8120324611664,19.93046259880066,0.3322222222222222,0.293
4,0.038421633467078206,0.037033307765211375,459.2766463756561,18.51080083847046,0.25855555555555554,0.25
5,0.03628324105714758,0.0352086533925363,531.9522230625153,20.35455560684204,0.24244444444444443,0.233
6,0.03450380045299729,0.03326572956783431,334.73789858818054,19.359283924102783,0.2288888888888889,0.217
7,0.032656807204087576,0.030542654916644096,340.529746055603,20.161621809005737,0.21988888888888888,0.202
8,0.03454895230631034,0.033546395865934234,329.23596715927124,19.43326711654663,0.2447777777777778,0.236
9,0.030128523893654346,0.028354347816535404,329.78286480903625,19.555999755859375,0.19844444444444445,0.184
10,0.028310427659501633,0.025353578052350452,346.788302898407,20.534745693206787,0.1837777777777778,0.149
11,0.02598943458870053,0.025280111070190157,331.3928804397583,20.472442865371704,0.15711111111111112,0.13
12,0.025764792536695797,0.027906320723039762,352.0958456993103,20.953081130981445,0.14966666666666667,0.168
13,0.027272033505141735,0.02612190161432539,335.86404752731323,20.414870977401733,0.155,0.159
14,0.023286422714591026,0.02385627638016428,332.3028607368469,19.5369074344635,0.12633333333333333,0.138
15,0.023214705195277928,0.02159195632806846,349.6108899116516,20.63213038444519,0.12522222222222223,0.117
16,0.02129593575373292,0.02002406652484621,359.0791573524475,20.23533296585083,0.107,0.099
17,0.019481544476002456,0.01865714176424912,410.07586002349854,21.119980096817017,0.08977777777777778,0.086
